frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.45, 0.00, 0.00, 0.07, 0.78, 1.21, 0.18, 0.03, 0.00, 0.00, 0.00, 0.00, 0.18, 0.00, 0.29, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2, 0, 0.033, 0.98, 1, 0.00, 0.00, 0.53, 0.00, 0.00, 0.03, 0.72, 1.29, 0.24, 0.04, 0.00, 0.03, 0.00, 0.00, 0.08, 0.00, 0.17, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3, 0, 0.067, 0.98, 1, 0.00, 0.00, 0.57, 0.00, 0.00, 0.01, 0.69, 1.34, 0.27, 0.03, 0.00, 0.03, 0.00, 0.00, 0.02, 0.00, 0.10, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4, 0, 0.100, 0.98, 1, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.68, 1.29, 0.18, 0.02, 0.00, 0.00, 0.00, 0.00, 0.05, 0.04, 0.14, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.133, 0.98, 1, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.71, 1.25, 0.10, 0.01, 0.00, 0.00, 0.00, 0.00, 0.07, 0.30, 0.16, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6, 0, 0.167, 0.98, 1, 0.00, 0.00, 0.91, 0.00, 0.00, 0.00, 0.73, 1.26, 0.05, 0.00, 0.00, 0.00, 0.01, 0.00, 0.07, 0.48, 0.13, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.200, 0.98, 1, 0.00, 0.00, 0.94, 0.00, 0.00, 0.00, 0.78, 1.26, 0.04, 0.00, 0.00, 0.00, 0.01, 0.00, 0.05, 0.66, 0.04, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.234, 0.98, 1, 0.00, 0.00, 0.96, 0.00, 0.00, 0.00, 0.83, 1.30, 0.08, 0.00, 0.00, 0.00, 0.01, 0.00, 0.02, 0.58, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.267, 0.98, 1, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.87, 1.27, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.62, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.300, 0.98, 1, 0.00, 0.00, 0.99, 0.00, 0.10, 0.00, 0.70, 1.28, 0.13, 0.00, 0.00, 0.00, 0.00, 0.01, 0.13, 0.70, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
